CallNumber,CallType,UnitType,ReceivedDtTm,DispatchDtTm,ResponseDtTm,OnSceneDtTm,AvailableDtTm,City,Latitude,Longitude,RouteID,DestinationName,DestinationLat,DestinationLon
900022,Medical Incident,AMBULANCE,2024-06-18 10:29:00,2024-06-18 10:34:00,2024-06-18 10:38:00,2024-06-18 10:46:00,2024-06-18 11:11:00,Chicago,41.917613,-87.613679,R10022,Mount Sinai Hospital,41.860835,-87.715703
900023,Traffic Collision,MEDIC,2024-03-03 05:45:00,2024-03-03 05:49:00,2024-03-03 05:54:00,2024-03-03 05:57:00,2024-03-03 06:26:00,Chicago,41.881217,-87.562727,R10023,Holy Cross Hospital,41.777362,-87.696645
900024,Traffic Collision,AMBULANCE,2024-03-03 18:18:00,2024-03-03 18:24:00,2024-03-03 18:27:00,2024-03-03 18:28:00,2024-03-03 18:49:00,Chicago,41.967426,-87.788027,R10024,Norwegian American Hospital (Humboldt Park),41.904495,-87.703662
900025,Traffic Collision,MEDIC,2024-03-06 13:03:00,2024-03-06 13:05:00,2024-03-06 13:14:00,2024-03-06 13:20:00,2024-03-06 13:36:00,Chicago,41.951782,-87.864116,R10025,Northwestern Memorial Hospital,41.89138,-87.619178
900026,Traffic Collision,MEDIC,2024-03-09 13:51:00,2024-03-09 13:56:00,2024-03-09 14:02:00,2024-03-09 14:05:00,2024-03-09 14:32:00,Chicago,41.783034,-87.910953,R10026,Mount Sinai Hospital,41.858581,-87.714958
900027,Medical Incident,AMBULANCE,2024-06-14 14:02:00,2024-06-14 14:05:00,2024-06-14 14:15:00,2024-06-14 14:21:00,2024-06-14 14:32:00,Chicago,41.998804,-87.918326,R10027,Norwegian American Hospital (Humboldt Park),41.90278,-87.703643
900028,Traffic Collision,MEDIC,2024-01-20 19:31:00,2024-01-20 19:35:00,2024-01-20 19:42:00,2024-01-20 19:46:00,2024-01-20 20:16:00,Chicago,41.809261,-87.586843,R10028,Holy Cross Hospital,41.776211,-87.695256
900029,Traffic Collision,MEDIC,2024-02-15 11:20:00,2024-02-15 11:26:00,2024-02-15 11:35:00,2024-02-15 11:40:00,2024-02-15 12:00:00,Chicago,42.002845,-87.863474,R10029,Northwestern Memorial Hospital,41.893192,-87.620502
900030,Traffic Collision,ENGINE,2024-04-30 10:28:00,2024-04-30 10:32:00,2024-04-30 10:36:00,2024-04-30 10:44:00,2024-04-30 11:11:00,Chicago,41.656249,-87.520784,R10030,UIC Hospital,41.872501,-87.672842
900031,Traffic Collision,ENGINE,2024-06-07 17:07:00,2024-06-07 17:10:00,2024-06-07 17:15:00,2024-06-07 17:16:00,2024-06-07 17:40:00,Chicago,41.831564,-87.558132,R10031,Holy Cross Hospital,41.77647,-87.695487
900032,Traffic Collision,ENGINE,2024-05-08 17:27:00,2024-05-08 17:32:00,2024-05-08 17:34:00,2024-05-08 17:40:00,2024-05-08 18:02:00,Chicago,41.726479,-87.567155,R10032,Mount Sinai Hospital,41.861372,-87.715824
900033,Traffic Collision,ENGINE,2024-01-31 20:05:00,2024-01-31 20:09:00,2024-01-31 20:16:00,2024-01-31 20:23:00,2024-01-31 20:34:00,Chicago,41.870682,-87.73134,R10033,UIC Hospital,41.871298,-87.674328
900034,Medical Incident,MEDIC,2024-01-09 17:41:00,2024-01-09 17:44:00,2024-01-09 17:54:00,2024-01-09 17:57:00,2024-01-09 18:23:00,Chicago,41.959063,-87.812844,R10034,Advocate Illinois Masonic,41.939274,-87.652292
900035,Medical Incident,ENGINE,2024-02-21 16:01:00,2024-02-21 16:06:00,2024-02-21 16:09:00,2024-02-21 16:11:00,2024-02-21 16:35:00,Chicago,41.872887,-87.705891,R10035,University of Chicago Medical Center,41.789005,-87.604235
900036,Medical Incident,MEDIC,2024-04-25 22:29:00,2024-04-25 22:33:00,2024-04-25 22:41:00,2024-04-25 22:49:00,2024-04-25 23:02:00,Chicago,41.662858,-87.758283,R10036,Norwegian American Hospital (Humboldt Park),41.902604,-87.704289
900037,Traffic Collision,MEDIC,2024-01-29 06:10:00,2024-01-29 06:14:00,2024-01-29 06:18:00,2024-01-29 06:22:00,2024-01-29 06:38:00,Chicago,42.011239,-87.531593,R10037,University of Chicago Medical Center,41.788839,-87.603596
900038,Medical Incident,AMBULANCE,2024-01-14 14:51:00,2024-01-14 14:55:00,2024-01-14 14:57:00,2024-01-14 14:58:00,2024-01-14 15:21:00,Chicago,41.889361,-87.71029,R10038,Northwestern Memorial Hospital,41.893057,-87.618596
900039,Medical Incident,TRUCK,2024-05-13 06:46:00,2024-05-13 06:50:00,2024-05-13 06:56:00,2024-05-13 06:59:00,2024-05-13 07:18:00,Chicago,41.682833,-87.658201,R10039,St. Bernard Hospital,41.776081,-87.641027
900040,Medical Incident,MEDIC,2024-04-04 02:13:00,2024-04-04 02:14:00,2024-04-04 02:21:00,2024-04-04 02:24:00,2024-04-04 02:48:00,Chicago,41.725475,-87.846739,R10040,Norwegian American Hospital (Humboldt Park),41.903102,-87.704433
900041,Traffic Collision,AMBULANCE,2024-04-12 06:47:00,2024-04-12 06:49:00,2024-04-12 06:57:00,2024-04-12 06:59:00,2024-04-12 07:24:00,Chicago,41.970007,-87.81955,R10041,Advocate Illinois Masonic,41.937808,-87.651698
900042,Medical Incident,MEDIC,2024-01-24 04:24:00,2024-01-24 04:25:00,2024-01-24 04:34:00,2024-01-24 04:40:00,2024-01-24 05:07:00,Chicago,41.873552,-87.753087,R10042,St. Bernard Hospital,41.77834,-87.641007
900043,Traffic Collision,MEDIC,2024-03-07 07:03:00,2024-03-07 07:05:00,2024-03-07 07:13:00,2024-03-07 07:14:00,2024-03-07 07:27:00,Chicago,41.833238,-87.56822,R10043,Rush University Medical Center,41.875143,-87.675248
900044,Traffic Collision,MEDIC,2024-05-14 06:13:00,2024-05-14 06:14:00,2024-05-14 06:19:00,2024-05-14 06:26:00,2024-05-14 06:41:00,Chicago,41.79914,-87.57194,R10044,UIC Hospital,41.871198,-87.672616
900045,Medical Incident,AMBULANCE,2024-01-30 20:15:00,2024-01-30 20:16:00,2024-01-30 20:23:00,2024-01-30 20:24:00,2024-01-30 20:37:00,Chicago,41.695635,-87.747805,R10045,University of Chicago Medical Center,41.789587,-87.60181
900046,Traffic Collision,MEDIC,2024-01-12 02:30:00,2024-01-12 02:31:00,2024-01-12 02:35:00,2024-01-12 02:37:00,2024-01-12 03:01:00,Chicago,41.904365,-87.883582,R10046,Northwestern Memorial Hospital,41.893507,-87.619077
900047,Traffic Collision,MEDIC,2024-03-21 06:05:00,2024-03-21 06:07:00,2024-03-21 06:12:00,2024-03-21 06:16:00,2024-03-21 06:39:00,Chicago,41.769754,-87.879937,R10047,Northwestern Memorial Hospital,41.8941,-87.620503
900048,Traffic Collision,AMBULANCE,2024-02-29 20:21:00,2024-02-29 20:27:00,2024-02-29 20:35:00,2024-02-29 20:41:00,2024-02-29 20:58:00,Chicago,41.949568,-87.915659,R10048,Rush University Medical Center,41.874009,-87.676366
900049,Medical Incident,MEDIC,2024-06-17 14:24:00,2024-06-17 14:26:00,2024-06-17 14:32:00,2024-06-17 14:36:00,2024-06-17 14:50:00,Chicago,41.851788,-87.939662,R10049,Holy Cross Hospital,41.775938,-87.695526
900050,Traffic Collision,AMBULANCE,2024-06-16 00:46:00,2024-06-16 00:50:00,2024-06-16 01:00:00,2024-06-16 01:06:00,2024-06-16 01:27:00,Chicago,41.877914,-87.584469,R10050,Northwestern Memorial Hospital,41.894621,-87.620161
900051,Traffic Collision,MEDIC,2024-03-04 22:32:00,2024-03-04 22:35:00,2024-03-04 22:37:00,2024-03-04 22:43:00,2024-03-04 23:09:00,Chicago,41.928364,-87.668426,R10051,Rush University Medical Center,41.873217,-87.676322
900052,Traffic Collision,ENGINE,2024-05-11 06:03:00,2024-05-11 06:05:00,2024-05-11 06:12:00,2024-05-11 06:20:00,2024-05-11 06:33:00,Chicago,41.918704,-87.538244,R10052,Saints Mary and Elizabeth,41.901643,-87.683444
900053,Medical Incident,AMBULANCE,2024-03-13 21:34:00,2024-03-13 21:40:00,2024-03-13 21:43:00,2024-03-13 21:47:00,2024-03-13 22:03:00,Chicago,41.914473,-87.760504,R10053,Advocate Illinois Masonic,41.938227,-87.650693
900054,Traffic Collision,AMBULANCE,2024-04-29 05:06:00,2024-04-29 05:11:00,2024-04-29 05:21:00,2024-04-29 05:24:00,2024-04-29 05:46:00,Chicago,41.650152,-87.633937,R10054,UIC Hospital,41.871676,-87.674206
900055,Medical Incident,ENGINE,2024-03-07 18:58:00,2024-03-07 19:00:00,2024-03-07 19:03:00,2024-03-07 19:06:00,2024-03-07 19:35:00,Chicago,41.67853,-87.889073,R10055,Rush University Medical Center,41.87426,-87.675218
900056,Traffic Collision,MEDIC,2024-01-11 14:04:00,2024-01-11 14:07:00,2024-01-11 14:14:00,2024-01-11 14:17:00,2024-01-11 14:35:00,Chicago,41.796084,-87.679147,R10056,Saints Mary and Elizabeth,41.903299,-87.684867
900057,Medical Incident,ENGINE,2024-05-01 12:48:00,2024-05-01 12:53:00,2024-05-01 12:56:00,2024-05-01 13:02:00,2024-05-01 13:21:00,Chicago,41.943714,-87.672046,R10057,Mount Sinai Hospital,41.86025,-87.715654
900058,Traffic Collision,AMBULANCE,2024-06-23 10:05:00,2024-06-23 10:07:00,2024-06-23 10:09:00,2024-06-23 10:11:00,2024-06-23 10:24:00,Chicago,41.875341,-87.548436,R10058,Advocate Illinois Masonic,41.938226,-87.651153
900059,Traffic Collision,MEDIC,2024-05-29 02:13:00,2024-05-29 02:16:00,2024-05-29 02:20:00,2024-05-29 02:23:00,2024-05-29 02:45:00,Chicago,41.640132,-87.851945,R10059,Northwestern Memorial Hospital,41.894293,-87.620714
900060,Traffic Collision,MEDIC,2024-01-24 20:24:00,2024-01-24 20:25:00,2024-01-24 20:29:00,2024-01-24 20:34:00,2024-01-24 20:57:00,Chicago,41.703896,-87.568745,R10060,Mount Sinai Hospital,41.860175,-87.717217
900061,Medical Incident,AMBULANCE,2024-06-08 07:17:00,2024-06-08 07:18:00,2024-06-08 07:21:00,2024-06-08 07:28:00,2024-06-08 07:46:00,Chicago,41.856001,-87.671994,R10061,Saints Mary and Elizabeth,41.900809,-87.683343
900062,Medical Incident,AMBULANCE,2024-06-08 13:03:00,2024-06-08 13:06:00,2024-06-08 13:12:00,2024-06-08 13:18:00,2024-06-08 13:28:00,Chicago,41.892921,-87.810592,R10062,University of Chicago Medical Center,41.788249,-87.60513
900063,Traffic Collision,AMBULANCE,2024-02-08 20:05:00,2024-02-08 20:09:00,2024-02-08 20:11:00,2024-02-08 20:18:00,2024-02-08 20:30:00,Chicago,41.969119,-87.603733,R10063,UIC Hospital,41.872963,-87.673587
900064,Medical Incident,AMBULANCE,2024-05-01 12:07:00,2024-05-01 12:08:00,2024-05-01 12:18:00,2024-05-01 12:22:00,2024-05-01 12:34:00,Chicago,41.810611,-87.534662,R10064,Norwegian American Hospital (Humboldt Park),41.902132,-87.703854
900065,Traffic Collision,MEDIC,2024-05-09 17:01:00,2024-05-09 17:06:00,2024-05-09 17:13:00,2024-05-09 17:15:00,2024-05-09 17:31:00,Chicago,41.674083,-87.922053,R10065,Saints Mary and Elizabeth,41.90111,-87.684816
900066,Traffic Collision,TRUCK,2024-05-07 22:03:00,2024-05-07 22:04:00,2024-05-07 22:09:00,2024-05-07 22:10:00,2024-05-07 22:24:00,Chicago,41.965018,-87.719363,R10066,Northwestern Memorial Hospital,41.894879,-87.62024
900067,Traffic Collision,AMBULANCE,2024-05-25 08:53:00,2024-05-25 08:59:00,2024-05-25 09:08:00,2024-05-25 09:15:00,2024-05-25 09:35:00,Chicago,41.891525,-87.669973,R10067,Norwegian American Hospital (Humboldt Park),41.903013,-87.702546
900068,Traffic Collision,AMBULANCE,2024-04-30 01:10:00,2024-04-30 01:16:00,2024-04-30 01:19:00,2024-04-30 01:21:00,2024-04-30 01:32:00,Chicago,41.722077,-87.664264,R10068,UIC Hospital,41.870594,-87.674035
900069,Traffic Collision,AMBULANCE,2024-03-07 15:47:00,2024-03-07 15:52:00,2024-03-07 16:00:00,2024-03-07 16:05:00,2024-03-07 16:24:00,Chicago,41.79617,-87.862708,R10069,Saints Mary and Elizabeth,41.900929,-87.683518
900070,Medical Incident,ENGINE,2024-06-04 20:58:00,2024-06-04 20:59:00,2024-06-04 21:03:00,2024-06-04 21:05:00,2024-06-04 21:29:00,Chicago,41.985934,-87.836558,R10070,Saints Mary and Elizabeth,41.901876,-87.68326
900071,Traffic Collision,TRUCK,2024-01-06 14:40:00,2024-01-06 14:43:00,2024-01-06 14:49:00,2024-01-06 14:57:00,2024-01-06 15:18:00,Chicago,41.886198,-87.820629,R10071,Saints Mary and Elizabeth,41.901153,-87.685515
900072,Traffic Collision,ENGINE,2024-02-06 10:03:00,2024-02-06 10:05:00,2024-02-06 10:07:00,2024-02-06 10:13:00,2024-02-06 10:24:00,Chicago,41.862652,-87.733852,R10072,St. Bernard Hospital,41.777074,-87.641513
900073,Traffic Collision,AMBULANCE,2024-04-30 23:59:00,2024-05-01 00:01:00,2024-05-01 00:04:00,2024-05-01 00:06:00,2024-05-01 00:23:00,Chicago,41.858051,-87.530374,R10073,Saints Mary and Elizabeth,41.902173,-87.683615
900074,Medical Incident,AMBULANCE,2024-05-19 05:56:00,2024-05-19 06:00:00,2024-05-19 06:10:00,2024-05-19 06:14:00,2024-05-19 06:44:00,Chicago,41.942368,-87.731037,R10074,St. Bernard Hospital,41.778231,-87.641809
900075,Traffic Collision,TRUCK,2024-05-23 05:33:00,2024-05-23 05:39:00,2024-05-23 05:45:00,2024-05-23 05:51:00,2024-05-23 06:16:00,Chicago,41.707053,-87.897112,R10075,Northwestern Memorial Hospital,41.894058,-87.621143
900076,Medical Incident,ENGINE,2024-03-08 10:15:00,2024-03-08 10:16:00,2024-03-08 10:20:00,2024-03-08 10:23:00,2024-03-08 10:53:00,Chicago,41.703551,-87.651925,R10076,UIC Hospital,41.872872,-87.672934
900077,Medical Incident,AMBULANCE,2024-04-02 20:14:00,2024-04-02 20:20:00,2024-04-02 20:24:00,2024-04-02 20:32:00,2024-04-02 20:58:00,Chicago,41.894071,-87.742349,R10077,Mount Sinai Hospital,41.858622,-87.716938
900078,Traffic Collision,ENGINE,2024-06-28 22:55:00,2024-06-28 23:01:00,2024-06-28 23:11:00,2024-06-28 23:19:00,2024-06-28 23:36:00,Chicago,41.665418,-87.626456,R10078,Advocate Illinois Masonic,41.938304,-87.651743
900079,Traffic Collision,ENGINE,2024-02-28 05:53:00,2024-02-28 05:54:00,2024-02-28 06:02:00,2024-02-28 06:09:00,2024-02-28 06:21:00,Chicago,42.012514,-87.753767,R10079,Northwestern Memorial Hospital,41.894515,-87.616147
900080,Medical Incident,AMBULANCE,2024-01-08 04:03:00,2024-01-08 04:09:00,2024-01-08 04:16:00,2024-01-08 04:22:00,2024-01-08 04:42:00,Chicago,41.935758,-87.532337,R10080,Saints Mary and Elizabeth,41.903331,-87.683012
900081,Traffic Collision,AMBULANCE,2024-05-13 01:11:00,2024-05-13 01:16:00,2024-05-13 01:23:00,2024-05-13 01:27:00,2024-05-13 01:38:00,Chicago,41.710169,-87.665584,R10081,University of Chicago Medical Center,41.788685,-87.603241
900082,Traffic Collision,MEDIC,2024-03-19 06:26:00,2024-03-19 06:32:00,2024-03-19 06:34:00,2024-03-19 06:40:00,2024-03-19 07:10:00,Chicago,41.993072,-87.826949,R10082,St. Bernard Hospital,41.778165,-87.641856
900083,Traffic Collision,MEDIC,2024-05-02 23:22:00,2024-05-02 23:23:00,2024-05-02 23:30:00,2024-05-02 23:34:00,2024-05-02 23:45:00,Chicago,41.684878,-87.886014,R10083,Saints Mary and Elizabeth,41.904315,-87.685867
900084,Medical Incident,MEDIC,2024-04-19 11:12:00,2024-04-19 11:16:00,2024-04-19 11:26:00,2024-04-19 11:33:00,2024-04-19 11:55:00,Chicago,41.907624,-87.913072,R10084,University of Chicago Medical Center,41.788585,-87.60392
900085,Medical Incident,MEDIC,2024-03-04 19:11:00,2024-03-04 19:13:00,2024-03-04 19:20:00,2024-03-04 19:27:00,2024-03-04 19:52:00,Chicago,41.684447,-87.909237,R10085,Saints Mary and Elizabeth,41.901528,-87.682911
900086,Traffic Collision,MEDIC,2024-01-19 21:52:00,2024-01-19 21:54:00,2024-01-19 22:00:00,2024-01-19 22:02:00,2024-01-19 22:15:00,Chicago,41.779912,-87.860191,R10086,Rush University Medical Center,41.87556,-87.675871
900087,Traffic Collision,MEDIC,2024-05-29 04:24:00,2024-05-29 04:30:00,2024-05-29 04:39:00,2024-05-29 04:46:00,2024-05-29 05:10:00,Chicago,41.91156,-87.765863,R10087,Rush University Medical Center,41.87327,-87.675784
900088,Traffic Collision,MEDIC,2024-06-21 14:09:00,2024-06-21 14:14:00,2024-06-21 14:22:00,2024-06-21 14:29:00,2024-06-21 14:49:00,Chicago,41.779757,-87.913495,R10088,Holy Cross Hospital,41.779389,-87.694157
900089,Medical Incident,AMBULANCE,2024-01-23 07:03:00,2024-01-23 07:04:00,2024-01-23 07:13:00,2024-01-23 07:20:00,2024-01-23 07:46:00,Chicago,41.762113,-87.593404,R10089,Mount Sinai Hospital,41.857975,-87.715814
900090,Traffic Collision,AMBULANCE,2024-05-08 05:08:00,2024-05-08 05:11:00,2024-05-08 05:15:00,2024-05-08 05:21:00,2024-05-08 05:50:00,Chicago,41.819242,-87.844916,R10090,Northwestern Memorial Hospital,41.893556,-87.621669
900091,Traffic Collision,MEDIC,2024-06-01 20:55:00,2024-06-01 20:57:00,2024-06-01 21:02:00,2024-06-01 21:08:00,2024-06-01 21:25:00,Chicago,41.906092,-87.705592,R10091,Mount Sinai Hospital,41.860505,-87.715134
900092,Medical Incident,MEDIC,2024-02-06 02:12:00,2024-02-06 02:16:00,2024-02-06 02:25:00,2024-02-06 02:31:00,2024-02-06 02:56:00,Chicago,41.878048,-87.745438,R10092,Mount Sinai Hospital,41.859666,-87.716318
900093,Traffic Collision,MEDIC,2024-05-11 06:19:00,2024-05-11 06:22:00,2024-05-11 06:25:00,2024-05-11 06:32:00,2024-05-11 06:56:00,Chicago,42.013646,-87.559283,R10093,Holy Cross Hospital,41.778765,-87.695595
900094,Traffic Collision,AMBULANCE,2024-03-10 22:20:00,2024-03-10 22:25:00,2024-03-10 22:35:00,2024-03-10 22:38:00,2024-03-10 22:55:00,Chicago,41.934209,-87.872375,R10094,Norwegian American Hospital (Humboldt Park),41.903377,-87.702349
900095,Traffic Collision,AMBULANCE,2024-05-03 12:12:00,2024-05-03 12:17:00,2024-05-03 12:23:00,2024-05-03 12:27:00,2024-05-03 12:46:00,Chicago,41.706488,-87.721486,R10095,Norwegian American Hospital (Humboldt Park),41.901481,-87.704484
900096,Medical Incident,MEDIC,2024-04-16 10:13:00,2024-04-16 10:17:00,2024-04-16 10:27:00,2024-04-16 10:29:00,2024-04-16 10:50:00,Chicago,41.817,-87.674277,R10096,UIC Hospital,41.871763,-87.672128
900097,Medical Incident,MEDIC,2024-03-03 22:13:00,2024-03-03 22:19:00,2024-03-03 22:23:00,2024-03-03 22:26:00,2024-03-03 22:45:00,Chicago,41.798062,-87.87267,R10097,Mount Sinai Hospital,41.856759,-87.717024
900098,Medical Incident,MEDIC,2024-04-21 21:21:00,2024-04-21 21:23:00,2024-04-21 21:29:00,2024-04-21 21:33:00,2024-04-21 22:01:00,Chicago,41.865752,-87.624933,R10098,Mount Sinai Hospital,41.858005,-87.7173
900099,Medical Incident,AMBULANCE,2024-04-21 11:59:00,2024-04-21 12:03:00,2024-04-21 12:05:00,2024-04-21 12:08:00,2024-04-21 12:23:00,Chicago,41.933243,-87.678487,R10099,UIC Hospital,41.87156,-87.673869
900100,Traffic Collision,MEDIC,2024-01-08 10:38:00,2024-01-08 10:39:00,2024-01-08 10:44:00,2024-01-08 10:45:00,2024-01-08 11:06:00,Chicago,41.7219,-87.866604,R10100,Advocate Illinois Masonic,41.938059,-87.649652
900101,Traffic Collision,ENGINE,2024-02-01 13:39:00,2024-02-01 13:40:00,2024-02-01 13:50:00,2024-02-01 13:51:00,2024-02-01 14:20:00,Chicago,41.889687,-87.665125,R10101,Norwegian American Hospital (Humboldt Park),41.902018,-87.703538
900102,Medical Incident,MEDIC,2024-02-13 11:42:00,2024-02-13 11:48:00,2024-02-13 11:54:00,2024-02-13 11:57:00,2024-02-13 12:21:00,Chicago,41.930637,-87.695602,R10102,Norwegian American Hospital (Humboldt Park),41.902798,-87.703939
900103,Medical Incident,AMBULANCE,2024-04-22 07:05:00,2024-04-22 07:09:00,2024-04-22 07:15:00,2024-04-22 07:22:00,2024-04-22 07:45:00,Chicago,41.9157,-87.872916,R10103,Holy Cross Hospital,41.777114,-87.695338
900104,Medical Incident,MEDIC,2024-02-05 06:47:00,2024-02-05 06:49:00,2024-02-05 06:55:00,2024-02-05 07:03:00,2024-02-05 07:29:00,Chicago,41.695578,-87.654617,R10104,University of Chicago Medical Center,41.788385,-87.601889
900105,Medical Incident,AMBULANCE,2024-04-06 15:07:00,2024-04-06 15:09:00,2024-04-06 15:14:00,2024-04-06 15:22:00,2024-04-06 15:35:00,Chicago,41.675889,-87.676177,R10105,Northwestern Memorial Hospital,41.893848,-87.619412
900106,Traffic Collision,TRUCK,2024-05-11 03:24:00,2024-05-11 03:30:00,2024-05-11 03:38:00,2024-05-11 03:42:00,2024-05-11 04:09:00,Chicago,41.882329,-87.842669,R10106,Holy Cross Hospital,41.776514,-87.695792
900107,Traffic Collision,MEDIC,2024-06-16 15:48:00,2024-06-16 15:54:00,2024-06-16 15:57:00,2024-06-16 16:02:00,2024-06-16 16:20:00,Chicago,41.853432,-87.828274,R10107,UIC Hospital,41.871411,-87.67315
900108,Medical Incident,MEDIC,2024-06-27 23:43:00,2024-06-27 23:45:00,2024-06-27 23:47:00,2024-06-27 23:49:00,2024-06-28 00:12:00,Chicago,41.834916,-87.529609,R10108,Rush University Medical Center,41.874952,-87.674547
